TITLE,Topic
"""Ukraine invasion: Russian skaters banned from international events; Kamila Valieva and Anna Shcherbakova to miss world championships""",War
"""Ukraine-Russia crisis tests Beijing’s desire to maintain ‘normal trade’ with both""",War
"""Ukraine invasion, App Store Changes, and retail openings - Apple's February 2022 in review""",War
"""Waterloo mayor shares personal connection to Ukraine""",War
"""The Abstainers: Why have India and China refused to condemn Russia’s actions against Ukraine? | In Focus podcast""",War
"""UK&#039;s Prince Charles says invasion of Ukraine is &quot;brutal aggression&quot;""",War
"""How to tell truth from lies as footage emerges from Ukraine""",War
"""Turkish footballer reveals why he refused to wear ‘no war’ T-shirt amid Russia-Ukraine crisis""",War
"""Disney, Sony and Warner Bros take stand against Russia amid Ukraine invasion""",War
"""‘Prove you are with us,’ Ukraine president urges EU""",War
"""Rosanna Davison shares pile of baby essentials she’s donating to Ukraine after their ‘unbearable sadness’""",War
"""The Latest: Russia pummels Ukraine's second-largest city, convoy nears Kyiv""",War
"""Daily Briefing Mar. 1: A liberal world order awakens; ToI on site at Ukraine border""",War
"""Ukraine war escalates: Poland poised to let EU-funded fighter jets take off for Russia""",War
"""Ukraine invasion: Russia accused of war crimes over strikes on Kharkiv as Volodymyr Zelensky says defence of Kyiv is key priority""",War
"""UK’s Prince Charles says invasion of Ukraine is ‘brutal aggression’""",War
"""MIPTV Owners Support Ukraine, Likely No Russian Presence at International TV Market""",War
"""What are thermobaric vacuum bombs? Russia accused of using weapon against Ukraine""",War
"""Putin's nuclear threats in Ukraine war – here's how US, allies must respond""",War
"""EOS Data Analytics Urges Satellite Imagery Firms and Space Agencies to Stand With Ukraine""",War
"""Giant Cargo Jets Sidelined by Russia’s Invasion of Ukraine""",War
"""How to help Ukraine amid Russian attacks""",War
"""How to help Ukraine amid Russian attacks""",War
"""Queen Elizabeth news: Ukraine’s Zelenskyy thanks Royal’s for support as Kate & William visit Monarch after Covid scare""",War
"""Scotland vs Ukraine UEFA green light decision could be up to two-weeks away""",War
"""Russia-Ukraine war live updates – ‘No way back’ for Putin after war crime claims as 40-MILE tank column closes on Kyiv""",War
"""Indian student, killed in shelling in Ukraine, was standing in grocery store queue""",War
"""‘Prove you are with us’, Ukraine president urges EU""",War
"""Russian billionaire Mikhail Fridman says: Ukraine war should stop""",War
"""Anthony Joshua forgets rivalry with Oleksandr Usyk and sends message of support after he joins Ukraine front line""",War
"""Ukraine legend Andriy Voronin terminates Dynamo Moscow contract after fleeing Russia""",War
"""What is a thermobaric weapon? Putin accused of using devastating ‘vacuum bomb’ in Ukraine""",War
"""Russia-Ukraine crisis | Government of India needs strategic plan for evacuation, every minute precious: Rahul Gandhi""",War
"""Russia-Ukraine crisis has unleashed even higher gas prices""",War
"""Vikings’ Katheryn Winnick says Volodymyr Zelensky is a ‘true hero’ and Ukraine will ‘fight to the death’ against Russia""",War
"""NATO chief urges Russia to end war in Ukraine immediately""",War
"""Stranded in Ukraine: The agony of Nigerians, By Reuben Abati""",War
"""Granddaughter of Soviet leader Nikita Khrushchev says she is embarrassed by Putin invasion of Ukraine""",War
"""Ukraine crisis: Mastercard and Visa withdraw from Russian banks as companies react to invasion""",War
"""Putin’s errors over Ukraine could herald big change for global finance""",War
"""Russia pushing towards Ukraine's capital after pummeling second-largest city""",War
"""Russia Ukraine War: Amidst air sirens, watch the desire to play one last game of football""",War
"""Cost of groceries on the rise as Ukraine war set to hike prices even further""",War
"""Bray Town Hall lit up in show of support for Ukraine""",War
"""Russia says ‘real danger’ of Ukraine acquiring nuclear weapons required response""",War
"""Ukraine exodus ‘to be Europe’s largest refugee crisis this century’, UN says""",War
"""'Shocked': Karnataka CM condoles death of Indian student killed in Ukraine shelling""",War
"""Biden's State of the Union address to focus on Ukraine, U.S. economy""",War
"""Russia reinstates Twitter traffic slowdown on computers over &#039;fake&#039; Ukraine posts -Ifax""",War
"""China evacuates more than 1,000 citizens from war-torn Ukraine""",War
"""Iran’s supreme leader weighs in on root cause of Ukraine crisis""",War
"""Lindiwe Zulu: ANC supports negotiations between Russia and Ukraine""",War
"""Ukraine conflict: Disney, Warner, Sony halt release of films in Russia - BBC News""",War
"""PM: Evacuation mission of Malaysians from Ukraine successful""",War
"""Cryptocurrency Exchanges Refuse Ukraine's Request to Freeze All Russian Accounts""",War
"""Russia says ‘real danger’ of Ukraine acquiring nuclear weapons required response""",War
"""Russia reinstates Twitter traffic slowdown on computers over ‘fake’ Ukraine posts -Ifax""",War
"""Ukraine: Another failure in EU’s foreign policy""",War
"""Indian student killed in Ukraine shelling, thousands more trapped""",War
"""Breaking: Indian student killed in Kharkiv, confirm MEA. Urges Ukraine and Russia to ensure safe passage of students Breaking: Indian student killed in Kharkiv, confirm MEA. Urges Ukraine and Russia to ensure safe passage of students""",War
"""UK PM Johnson: Hard to see Putin as valid interlocutor in any Ukraine compromise""",War
"""Every ridiculous claim Pat Robertson made about Putin & Ukraine on 700 Club""",War
"""CEO: Stellantis sets up task force to monitor sanctions, staff in Ukraine crisis""",War
"""Putin is so angry about Ukraine's resistance to his invasion that he might launch a more aggressive attack, Western officials warn""",War
"""Russian billionaire Fridman says: Ukraine war should stop""",War
"""Morphing faces using AI, posing as influencers: How Russian cyber actors are operating amid Ukraine war""",War
"""Govt may review timing of LIC IPO after Ukraine invasion: FM Sitharaman""",War
"""Ukraine claims Belarus has crossed border to join Putin’s invasion""",War
"""Ukraine conflict: Shares fall as Russia warned it faces collapse""",War
"""Russian forces pound Ukraine cities as Putin’s tactics turn more brutal""",War
"""The Latest: Russia pummels Ukraine's second-largest city, convoy nears Kyiv""",War
"""Kremlin denies use of cluster munitions during Ukraine conflict""",War
"""Russia says it won’t yield to sanctions pressure over Ukraine""",War
"""PM sick, cancels major Ukraine event""",War
"""Ukraine: Skating union suspends Russia, Belarus from competitions""",War
"""Hong Kong await Sochi World Cup decision, with fencing chief Alisher Usmanov hit by EU sanctions over Ukraine invasion""",War
"""The Video Game Industry Pledges Its Support For The Beleaguered People Of Ukraine""",War
"""Fact Check: No, former Miss Ukraine is not fighting Russians in the ongoing invasion""",War
"""Ukraine's UN ambassador reads texts from fallen Russian soldier: 'Mama, this is hard'""",War
"""As Ukraine conflict rages, Biden seeks to unite Americans in annual speech""",War
"""THQ, Gearbox owner Embracer donating $1m to Ukraine aid""",War
"""As Ukraine conflict rages, Biden seeks to unite Americans in annual speech""",War
"""Death of Karnataka student Naveen in Ukraine: CM consoles the family""",War
"""Europe's Mars rover will likely miss 2022 launch on Russian rocket due to Ukraine invasion sanctions""",War
"""Could Russia's Assault On Ukraine Trigger Putin’s Overthrow?""",War
"""Vladimir Putin is being stripped of his honorary sporting titles amid Ukraine invasion""",War
"""Kadyrov confirms Chechen casualties in Ukraine""",War
"""Corporate world shuns Russia over Ukraine war and as Western sanctions bite""",War
"""Indian student killed in Ukraine shelling: India's foreign ministry""",War
"""The coder supply chain runs through Ukraine""",War
"""Genesis Fund oligarchs pledge $10 million for Jews in Ukraine""",War
"""Zelensky Calls on Foreigners to Come to Ukraine to Fight The Russians""",War
"""Russia pushing towards Ukraine’s capital after pummeling second-largest city""",War
"""Russia-Ukraine war: 18 latest developments after peace talks""",War
"""Veteran investor Mark Mobius explains why bitcoin is rallying amid Ukraine crisis""",War
"""Russia pummels Ukraine's second-largest city as convoy nears Kyiv""",War
"""How sports and entertainment are responding to Russia's invasion of Ukraine""",War
"""Ukraine's Mariupol port under constant shelling, mayor says""",War
"""Farhan Akhtar reacts to Indian student's death during Russia-Ukraine war: 'Feel terrible for family'""",War
"""The Killers latest band to cancel concert in Russia amid ongoing Ukraine invasion""",War
"""Ukraine-Russia conflict: Boris Johnson accuses Vladimir Putin of 'barbaric and indiscriminate' attacks against civilians""",War
"""War in Ukraine Hits Home for Taiwanese""",War
"""Civilians Shelter as Sirens Sound in Western Ukraine""",War
"""Ukraine ambassador exposes Putin's war plan to 'cut Ukraine from sea' - 'stealing water'""",War
"""NATO providing ‘direct support’ to Ukraine will start WWIII""",War
"""Belarus denies Kyiv's claim that Belarusian troops joined Russia's invasion of Ukraine""",War
"""Iran’s supreme leader criticizes U.S. over Ukraine crisis""",War
"""Ukraine crisis: Hundreds of Ukrainian tourists stranded in Indian Ocean’s Zanzibar""",War
"""‘Bombs everywhere’: Israelis flee Ukraine amid deadly evacuation chaos""",War
"""Maksim Chmerkovskiy’s citizenship explained as star flees Ukraine""",War
"""Number of Refugees Fleeing Ukraine Spirals to 660,000""",War
"""Russia-Ukraine war: World Taekwondo strips Vladimir Putin of black belt""",War
"""Sweden to push for extended Russia sanctions, hikes Ukraine aid""",War
"""Russia-Ukraine war: Disney, Warner, Sony pause release of films including The Batman in Russia""",War
"""Ukraine Heading for More Brutal Phase of War as Russia Regroups""",War
"""Russia’s Lavrov says there is a danger of Ukraine acquiring nuclear weapons""",War
"""Russia’s Lavrov says there is a danger of Ukraine acquiring nuclear weapons""",War
"""Russia and Ukraine conflict is bad news for petrol prices in South Africa: energy minister""",War
"""Russia facing sports isolation over invasion of Ukraine""",War
"""Ukraine crisis: EU urges Malaysia to back UN vote against Russia to protect ‘right to make your own choices’""",War
"""Kremlin: Russia won’t budge under sanctions pressure over Ukraine""",War
"""TotalEnergies Stays in Russia Despite Condemning Ukraine Attack""",War
"""The world is ‘rallying behind’ Ukraine""",War
"""Ram Charan, Jr NTR lie on the grass in throwback pic from Ukraine schedule of RRR. How simple, say fans""",War
"""Global stocks slip in cautious trade after Russia-Ukraine talks fail to halt hostilities, as oil rises on supply worries""",War
"""Canadian answers Ukraine call for foreign fighters""",War
"""EU fights back! Putin's blackout plot foiled as Ukraine deepens energy ties with bloc""",War
"""Indian Student Killed In Shelling In Ukraine's Kharkiv - NDTV""",War
"""Ukraine invasion: Warner, Disney and Sony pull major films from Russia as fighting continues - Sky News""",War
"""Russia Vows to Press Attack as Troops Near Kyiv: Ukraine Update""",War
"""Over 660,000 people flee Ukraine, UN agency says""",War
"""Despite Russia-Ukraine tensions, Axiom Space mission is “ready to fly” | Ctech - CTech""",War
"""Ukraine crisis: Indian student killed in shelling in Kharkiv, says MEA""",War
"""Sterling steadies with focus on Ukraine tensions and BoE speeches""",War
"""Russia-Ukraine War News LIVE Updates: Indian Student Loses Life in Kharkiv Shelling; Russia to Continue Ope - News18""",War
"""Indian student killed in Ukraine shelling – India’s foreign ministry""",War
"""Live: Russian Military Convoy Nears Kyiv As Ukraine Condemns ‘Barbaric Missile Strikes’ In Kharkiv""",War
"""Indian Student Killed in Shelling in Ukraine's Kharkiv""",War
"""Munich orchestra drops Russian conductor Gergiev over Ukraine""",War
"""Disney, Warner, and Sony halt film releases in Russia over the invasion of Ukraine""",War
"""Indian medical students in Ukraine, China stare at an uncertain future, seek government help""",War
"""Belarus’s Lukashenko: Russia-Ukraine talks raises hope that hostilities may end – RIA""",War
"""Evacuation mission of Malaysians in Ukraine a success, says PM""",War
"""Red Cross seeks funds for Ukraine aid, access to detainees""",War
"""Russia’s Lavrov says there is a danger of Ukraine acquiring nuclear weapons""",War
"""Australia Supports Ukraine, Sends $70 Million Worth Lethal Weapons to Fight Russia's Invasion""",War
"""Ukraine seeks disarmament meeting on Russia&#039;s invasion, weapons of mass destruction""",War
"""TSRTC to provide free bus services to Ukraine returnees from Hyderabad airport""",War
"""Russia-Ukraine crisis shows need for US to 'drill, baby, drill': Morning Brief""",War
"""Red Cross seeks funds for Ukraine aid, access to detainees""",War
"""Ukraine: Zelensky demands ceasefire from Russia""",War
"""Russia-Ukraine fallout: India’s football friendly versus Belarus cancelled""",War
"""‘World Of Tanks’ developer fires creative director for supporting Russia’s invasion of Ukraine""",War
"""War in Ukraine Threatens World Food Supplies  """,War
"""Biden to Confront Economic Doubts, Ukraine War in State of Union""",War
"""Manchester United's three Ukraine connections""",War
"""Ukraine Seeks Safe Zone as Russia Nears Biggest Atomic Plant""",War
"""China-EU relations: confirmed summit expected to cover Ukraine war and sanctions""",War
"""Russian Invasion Of Ukraine’s “Silicon Valley” Hits Tech Everywhere – But Especially Inside The Stricken Country""",War
"""Ukraine seeks disarmament meeting on Russia’s invasion, weapons of mass destruction""",War
"""World Taekwondo revokes Putin’s honorary black belt over Ukraine""",War
"""Indian student killed in Ukraine shelling - India&#039;s foreign ministry""",War
"""Russia to continue Ukraine operation until goals achieved, says minister""",War
"""Over 30 diplomatic mission reps, heads in M'sia express solidarity with Ukraine""",War
"""War in Ukraine threatens to block shipments via China-Europe railway, networking gear maker Zyxel warns""",War
"""Russia-Ukraine crisis triggers 12pc loss for Willy Packer’s Investigator Trust""",War
"""Russia Ukraine War: Indian student killed in Kharkiv in Russian shelling""",War
"""Russia-Ukraine war: YouTube to block Russia Today and Sputnik across Europe""",War
"""Indian student killed in Ukraine shelling – India’s foreign ministry""",War
"""‘Inspector Koo’ actress Lee Young-ae donates ₩100million to Ukraine""",War
"""Susanna Reid visibly emotional speaking about six-year-old girl killed in Ukraine by Russian attack""",War
"""India's Economy Faces A Potential Stagflation Risk From Ukraine War""",War
"""ICC to investigate possible war crimes in Ukraine""",War
"""Ukraine on brink of ‘humanitarian catastrophe’, UK’s ambassador to UN warns""",War
"""Russia pounds Ukraine’s second city as 40-mile convoy nears Kyiv""",War
"""Explained | The significance of Mriya, the world’s largest aircraft destroyed in the Russia-Ukraine conflict""",War
"""Iran’s supreme leader criticizes U.S. over Ukraine crisis""",War
"""Stephen King shares rare photo of himself to support Ukraine after condemning ‘stupid’ Vladimir Putin""",War
"""Russia-Ukraine war: Indian student killed in Kharkiv shelling - India Today""",War
"""Russia-Ukraine war: Indian student killed in Kharkiv shelling""",War
"""Maryland severs its sister-city links with Russia's Leningrad region in a symbolic gesture of support for Ukraine""",War
"""Premier League refs told NOT to punish players for showing support for Ukraine after Matty Cash was booked for showing support to Tomasz Kedziora""",War
"""Russia-Ukraine war: Kharkiv shelled, Russian convoy nears Kyiv""",War
"""Missile damages government building in Ukraine’s 2nd-largest city (VIDEO)""",War
"""Indian student killed in Russian shelling in Ukraine's Kharkiv""",War
"""Indian student killed in Russian shelling in Ukraine's Kharkiv""",War
"""Where to buy Support Ukraine shirts to help raise money for the victims""",War
"""Ukraine president Volodymyr Zelenskyy thanks William and Kate for their support over Russian invasion""",War
"""Russians protest in support of Ukraine, including in Canada""",War
"""Russia’s intervention in Syria provided blueprint for Ukraine invasion""",War
"""Kent MP in Ukraine to witness war effort""",War
"""Ukraine crisis: Nuclear conflict with Russia is too terrible to contemplate, but during Cold War we planned for Armageddon""",War
"""Separatist leader says his forces aim to encircle Ukraine’s Mariupol""",War
"""FOREX-Rouble sell-off eases, dollar slips as markets wait for Ukraine developments""",War
"""Zelensky’s ‘Dancing with the Stars’ Ukraine clip from 2006 goes viral""",War
"""Russia’s invasion of Ukraine driving up inflation, RBA governor says""",War
"""Ukraine’s Kyiv, Kharkiv bombed for first time since Hitler’s offensive""",War
"""Russia’s ‘cyber free-for-all’ could still be launched on Ukraine, experts warn""",War
"""Ukraine crisis: Russia and Belarus suspended from all international rugby""",War
"""AU decries reports of ill treatment as Africans try to flee Ukraine""",War
"""Shakhtar Donetsk evacuate Brazilian players from Ukraine in epic journey to Romania""",War
"""Edinburgh funds giant Abrdn hails 2021 as 'reset' year but Ukraine casts a shadow""",War
"""Russian invasion of Ukraine sees online forces mobilize as cyberattacks mount""",War
"""Russia-Ukraine cyber war: A look at DDoS attacks, HermeticWiper malware""",War
"""Missile explodes outside government building in Ukraine’s second biggest city""",War
"""YouTube blocks Russian channels RT, Sputnik in Europe amid war with Ukraine""",War
"""Nu Boyana Studios Organizing Conveys, Job Fair to Help Ukraine Refugees""",War
"""Iran’s supreme leader criticizes U.S. on Ukraine crisis""",War
"""European stocks mostly drop at open on Ukraine""",War
"""War: Russia’s isolation intensified as Ukraine fighting rages""",War
"""Ukraine&#039;s Mariupol port under constant shelling, mayor says""",War
"""Even The Dictionary Is Puzzled By GOP Rep.’s Word Salad About Ukraine""",War
"""Explained: Why sunflower is the national flower of Ukraine""",War
"""European bank shares remain volatile, battered by the Ukraine crisis""",War
"""European stock markets muted as Russia-Ukraine conflict continues""",War
"""Big Bands, Acts Still Scheduled to Perform in Russia Amid Ukraine Conflict""",War
"""The Coder Supply Chain Runs Through Ukraine""",War
"""How to tell truth from lies as footage emerges from Ukraine""",War
"""How to tell truth from lies as footage emerges from Ukraine""",War
"""World Volleyball body strips Russia of World Championship over Ukraine invasion""",War
"""Kate and William praised for Ukraine support: Zelensky sends message to royals""",War
"""Twitter calls out global media's 'racist' coverage of Ukraine crisis""",War
"""Franz Ferdinand cancel their upcoming Russia shows following Ukraine invasion""",War
"""Russia-Ukraine war live updates – Kyiv faces 40-MILE column of Putin’s tanks as assassins plot Zelensky murder ‘in DAYS’""",War
"""Asian shares climb amid Russia-Ukraine talks, oil worries""",War
"""Ukraine crisis: Russia facing up to realities of sanctions from world sporting organisations""",War
"""Ukraine crisis: Russia facing up to realities of cold shoulder from world sporting organisations""",War
"""Maksim Chmerkovskiy of 'Dancing with the Stars' gets on train out of Ukraine""",War
"""Belarus leader says Minsk won&#039;t join Russian operation in Ukraine, Belta reports""",War
"""European Mars rover launch ‘unlikely’ this year due to Ukraine conflict""",War
"""Russia steps up assault on Ukraine’s second city as it reassesses line of attack""",War
"""Russia's invasion of Ukraine: Russian athletes join 'no to war' plea""",War
"""Louis Tomlinson scraps concerts in Russia and Ukraine over ‘needless war’""",War
"""Big tech grapples with Russian state media, propaganda amid Ukraine war""",War
"""MP CM Shivraj Singh Chouhan promises stay, food and transportation for students returning from Ukraine""",War
"""Ukraine Crisis: Disney, Warner Bros, Sony Pictures Halt Film Releases in Russia""",War
"""Meta Restricts Russian State Media on Facebook, WhatsApp and Instagram Following Invasion of Ukraine""",War
"""Pat Robertson Resurfaces To Offer Worst Possible Take On Ukraine""",War
"""Pat Robertson Resurfaces To Offer Worst Possible Take On Ukraine""",War
"""Ukraine disaster an Aussie export boom""",War
"""Palm oil becomes costliest vegoil as Ukraine war halts sunoil supply""",War
"""100 tons of humanitarian aid en route from Israel to Ukraine""",War
"""For many Jews, Volodymyr Zelensky is a ‘modern Maccabee’ as he fights Ukraine’s war""",War
"""Russia Vows to Press Attack as Troops Near Kyiv: Ukraine Update""",War
"""PM meets Malaysians arriving from Ukraine at KLIA""",War
"""Prospects for diplomatic resolution to Ukraine crisis slim -UK&#039;s Raab""",War
"""Crypto world grapples with challenge of how to handle Russian sanctions over Ukraine invasion """,War
"""ESA-Russia Mars rover launch on ice due to Ukraine invasion""",War
"""Wheat, barley prices could go even ‘higher’ due to Russia-Ukraine war""",War
"""Ukraine claims Russia used an illegal vacuum bomb during invasion: 'Potentially a war crime'""",War
"""Fiction from Ukraine, stories that numbers tell and more""",War
"""Russia faces sports isolation over invasion of Ukraine""",War
"""Belarus leader says Minsk won’t join Russian operation in Ukraine, Belta reports""",War
"""Prospects for diplomatic resolution to Ukraine crisis slim, says UK’s Raab""",War
